LocalAuthority,Category,Type,LicenceArea,LCT_Connections,True Export,Predicted Export,Residual
Bedford (B),Generation,Solar PV,Eastern Power Networks (EPN),11,83,39.113667,43.88633346557617
Tendring District,Generation,Solar PV,Eastern Power Networks (EPN),7,21,26.585867,-5.585866928100586
Ipswich District (B),Generation,Solar PV,Eastern Power Networks (EPN),8,25,31.18073,-6.180730819702148
Colchester District (B),Demand,EV Charging Point,Eastern Power Networks (EPN),13,0,0.49390823,-0.49390822649002075
Epping Forest District,Demand,EV Charging Point,Eastern Power Networks (EPN),9,0,-0.18058464,0.1805846393108368
Maldon District (B),Generation + Demand,Battery Storage,Eastern Power Networks (EPN),6,8,12.029478,-4.029478073120117
Merton London Boro,Demand,EV Charging Point,London Power Networks (LPN),8,0,-0.009179374,0.0091793742030859
Thanet District,Demand,EV Charging Point,South Eastern Power Networks (SPN),6,0,1.906189,-1.90618896484375
Sevenoaks District,Demand,EV Charging Point,South Eastern Power Networks (SPN),16,0,1.0198153,-1.0198153257369995
King's Lynn and West Norfolk District (B),Generation,Solar PV,Eastern Power Networks (EPN),9,30,32.553364,-2.553363800048828
Medway (B),Generation,Solar PV,South Eastern Power Networks (SPN),8,25,29.56631,-4.566310882568359
Central Bedfordshire,Generation,Solar PV,Eastern Power Networks (EPN),18,107,61.75085,45.249149322509766
Huntingdonshire District,Generation,Solar PV,Eastern Power Networks (EPN),10,42,36.821083,5.178916931152344
Havering London Boro,Generation,Solar PV,Eastern Power Networks (EPN),16,20,56.609344,-36.609344482421875
St. Albans District (B),Generation,Solar PV,Eastern Power Networks (EPN),11,42,38.94613,3.0538711547851562
Wealden District,Generation,Solar PV,South Eastern Power Networks (SPN),8,22,28.925598,-6.92559814453125
Epping Forest District,Demand,EV Charging Point,London Power Networks (LPN),7,0,-0.2064694,0.20646940171718597
East Suffolk District,Generation,Solar PV,Eastern Power Networks (EPN),7,26,27.305162,-1.3051624298095703
Broadland District,Generation,Solar PV,Eastern Power Networks (EPN),8,26,30.291601,-4.291601181030273
East Suffolk District,Generation,Solar PV,Eastern Power Networks (EPN),8,28,30.835232,-2.8352317810058594
Central Bedfordshire,Generation,Solar PV,Eastern Power Networks (EPN),18,79,61.75085,17.249149322509766
The City of Brighton and Hove (B),Generation,Solar PV,South Eastern Power Networks (SPN),8,28,29.56631,-1.5663108825683594
Luton (B),Demand,EV Charging Point,Eastern Power Networks (EPN),6,0,-0.87218773,0.8721877336502075
Croydon London Boro,Demand,EV Charging Point,South Eastern Power Networks (SPN),7,0,-0.12871726,0.12871725857257843
Central Bedfordshire,Demand,Heat Pump,Eastern Power Networks (EPN),7,0,0.10667436,-0.10667435824871063
North Hertfordshire District,Generation,Solar PV,Eastern Power Networks (EPN),7,25,26.10015,-1.100149154663086
Gravesham District (B),Generation,Solar PV,South Eastern Power Networks (SPN),13,39,43.44937,-4.449371337890625
North Hertfordshire District,Generation,Solar PV,Eastern Power Networks (EPN),18,42,60.901085,-18.901084899902344
East Cambridgeshire District,Generation,Solar PV,Eastern Power Networks (EPN),9,29,32.200226,-3.200225830078125
Cambridge District (B),Generation,Solar PV,Eastern Power Networks (EPN),20,118,68.05181,49.94818878173828
Worthing District (B),Generation,Solar PV,South Eastern Power Networks (SPN),7,17,27.96023,-10.960229873657227
Ipswich District (B),Generation,Solar PV,Eastern Power Networks (EPN),8,31,31.18073,-0.18073081970214844
South Cambridgeshire District,Demand,EV Charging Point,Eastern Power Networks (EPN),6,0,-0.10872772,0.10872772336006165
North Norfolk District,Generation,Solar PV,Eastern Power Networks (EPN),7,22,28.204897,-6.204896926879883
Canterbury District (B),Generation,Solar PV,South Eastern Power Networks (SPN),7,21,26.036242,-5.03624153137207
Central Bedfordshire,Generation,Solar PV,Eastern Power Networks (EPN),7,23,27.08836,-4.088359832763672
Sevenoaks District,Generation,Solar PV,South Eastern Power Networks (SPN),8,27,44.989006,-17.98900604248047
West Suffolk District,Generation,Solar PV,Eastern Power Networks (EPN),8,32,49.971382,-17.97138214111328
East Cambridgeshire District,Demand,EV Charging Point,Eastern Power Networks (EPN),8,0,-0.25058705,0.2505870461463928
Braintree District,Generation,Solar PV,Eastern Power Networks (EPN),9,33,30.971895,2.028104782104492
Ashford District (B),Demand,Heat Pump,South Eastern Power Networks (SPN),6,0,-0.12850638,0.1285063773393631
Chelmsford District (B),Generation,Solar PV,Eastern Power Networks (EPN),6,20,21.512571,-1.5125713348388672
Mid Suffolk District,Generation,Solar PV,Eastern Power Networks (EPN),31,81,95.53936,-14.539360046386719
Thanet District,Generation,Solar PV,South Eastern Power Networks (SPN),6,17,27.433323,-10.43332290649414
Richmond upon Thames London Boro,Generation,Solar PV,South Eastern Power Networks (SPN),7,21,26.036242,-5.03624153137207
Basildon District (B),Generation,Solar PV,Eastern Power Networks (EPN),8,23,30.807386,-7.80738639831543
Swale District (B),Generation,Solar PV,South Eastern Power Networks (SPN),6,21,21.950361,-0.9503612518310547
King's Lynn and West Norfolk District (B),Generation,Solar PV,Eastern Power Networks (EPN),12,41,42.7961,-1.7961006164550781
Ipswich District (B),Generation,Solar PV,Eastern Power Networks (EPN),7,26,32.49691,-6.496910095214844
Harrow London Boro,Demand,EV Charging Point,Eastern Power Networks (EPN),7,0,0.15344928,-0.15344928205013275
Basildon District (B),Generation,Solar PV,Eastern Power Networks (EPN),11,35,38.987953,-3.9879531860351562
North Norfolk District,Generation,Solar PV,Eastern Power Networks (EPN),12,42,47.311977,-5.311977386474609
South Norfolk District,Generation,Solar PV,Eastern Power Networks (EPN),7,172,27.069666,144.93033409118652
Broadland District,Generation,Solar PV,Eastern Power Networks (EPN),10,43,36.954792,6.045207977294922
Basildon District (B),Generation,Solar PV,Eastern Power Networks (EPN),9,33,31.952501,1.0474987030029297
Colchester District (B),Generation,Solar PV,Eastern Power Networks (EPN),6,19,23.607721,-4.607721328735352
Ashford District (B),Generation,Solar PV,South Eastern Power Networks (SPN),40,144,67.936104,76.06389617919922
Chelmsford District (B),Demand,EV Charging Point,Eastern Power Networks (EPN),6,0,-0.43597764,0.43597763776779175
Colchester District (B),Generation,Solar PV,Eastern Power Networks (EPN),9,26,32.25562,-6.255619049072266
Reigate and Banstead District (B),Generation,Solar PV,South Eastern Power Networks (SPN),7,17,26.036242,-9.03624153137207
West Suffolk District,Generation,Solar PV,Eastern Power Networks (EPN),18,77,67.09045,9.909553527832031
Horsham District,Generation,Solar PV,South Eastern Power Networks (SPN),11,35,38.238605,-3.238605499267578
Crawley District (B),Generation,Solar PV,South Eastern Power Networks (SPN),6,19,22.795174,-3.7951736450195312
Colchester District (B),Generation,Solar PV,Eastern Power Networks (EPN),39,114,119.706345,-5.7063446044921875
King's Lynn and West Norfolk District (B),Generation,Solar PV,Eastern Power Networks (EPN),13,44,44.92316,-0.9231605529785156
North Norfolk District,Generation,Solar PV,Eastern Power Networks (EPN),7,24,28.204897,-4.204896926879883
Fenland District,Generation,Solar PV,Eastern Power Networks (EPN),9,31,37.037636,-6.037635803222656
Babergh District,Generation,Solar PV,Eastern Power Networks (EPN),14,44,49.983913,-5.983913421630859
Canterbury District (B),Generation,Solar PV,South Eastern Power Networks (SPN),7,25,26.036242,-1.0362415313720703
East Suffolk District,Generation,Solar PV,Eastern Power Networks (EPN),10,32,37.27729,-5.277290344238281
Huntingdonshire District,Generation,Solar PV,Eastern Power Networks (EPN),18,60,65.42463,-5.424629211425781
South Norfolk District,Generation,Solar PV,Eastern Power Networks (EPN),19,71,67.48293,3.5170669555664062
Crawley District (B),Demand,Heat Pump,South Eastern Power Networks (SPN),6,0,-0.12850638,0.1285063773393631
Barnet London Boro,Demand,EV Charging Point,Eastern Power Networks (EPN),7,0,-0.072602615,0.07260261476039886
North Hertfordshire District,Generation,Solar PV,Eastern Power Networks (EPN),10,34,37.610508,-3.6105079650878906
Crawley District (B),Generation,Solar PV,South Eastern Power Networks (SPN),16,53,56.276592,-3.276592254638672
Dartford District (B),Demand,EV Charging Point,South Eastern Power Networks (SPN),8,0,0.039237235,-0.039237234741449356
Southend-on-Sea (B),Generation,Solar PV,Eastern Power Networks (EPN),11,31,39.113667,-8.113666534423828
Southend-on-Sea (B),Generation,Solar PV,Eastern Power Networks (EPN),10,42,36.558002,5.441997528076172
Guildford District (B),Generation,Solar PV,South Eastern Power Networks (SPN),6,17,22.795174,-5.795173645019531
Ipswich District (B),Generation,Solar PV,Eastern Power Networks (EPN),12,42,44.297367,-2.2973670959472656
Gravesham District (B),Demand,EV Charging Point,South Eastern Power Networks (SPN),8,0,-0.6128671,0.6128671169281006
Bromley London Boro,Demand,EV Charging Point,South Eastern Power Networks (SPN),6,0,-0.08173144,0.08173143863677979
Broadland District,Generation,Solar PV,Eastern Power Networks (EPN),6,17,23.071358,-6.071357727050781
East Suffolk District,Generation + Demand,Battery Storage,Eastern Power Networks (EPN),8,8,13.098634,-5.098633766174316
Medway (B),Generation,Solar PV,South Eastern Power Networks (SPN),6,21,22.795174,-1.7951736450195312
Waltham Forest London Boro,Demand,EV Charging Point,Eastern Power Networks (EPN),6,0,-0.651788,0.6517879962921143
Woking District (B),Generation,Solar PV,South Eastern Power Networks (SPN),10,39,36.60047,2.3995285034179688
Broadland District,Generation,Solar PV,Eastern Power Networks (EPN),8,27,30.291601,-3.2916011810302734
Chelmsford District (B),Generation,Solar PV,Eastern Power Networks (EPN),6,15,21.512571,-6.512571334838867
Dacorum District (B),Generation,Solar PV,Eastern Power Networks (EPN),8,25,29.009773,-4.009773254394531
Tonbridge and Malling District (B),Generation,Solar PV,South Eastern Power Networks (SPN),9,32,31.651352,0.3486480712890625
Breckland District,Generation,Solar PV,Eastern Power Networks (EPN),7,27,31.79063,-4.790630340576172
South Norfolk District,Generation,Solar PV,Eastern Power Networks (EPN),25,64,83.5873,-19.587303161621094
Huntingdonshire District,Generation,Solar PV,Eastern Power Networks (EPN),12,90,44.985878,45.014122009277344
West Suffolk District,Generation,Solar PV,Eastern Power Networks (EPN),8,25,49.971382,-24.97138214111328
Luton (B),Generation,Solar PV,Eastern Power Networks (EPN),10,31,35.1046,-4.1045989990234375
Kingston upon Thames London Boro,Generation,Solar PV,South Eastern Power Networks (SPN),7,19,26.036242,-7.03624153137207
West Suffolk District,Generation,Solar PV,Eastern Power Networks (EPN),11,38,41.04492,-3.044921875
Surrey Heath District (B),Generation,Solar PV,South Eastern Power Networks (SPN),7,26,26.036242,-0.03624153137207031
Huntingdonshire District,Demand,Heat Pump,Eastern Power Networks (EPN),7,0,1.2147094,-1.2147094011306763
Folkestone and Hythe District,Generation,Solar PV,South Eastern Power Networks (SPN),14,34,49.65116,-15.651161193847656
Colchester District (B),Generation,Solar PV,Eastern Power Networks (EPN),12,43,42.498356,0.5016441345214844
St. Albans District (B),Generation,Solar PV,Eastern Power Networks (EPN),6,12,22.718973,-10.718973159790039
Colchester District (B),Demand,EV Charging Point,Eastern Power Networks (EPN),8,0,0.15074004,-0.15074004232883453
City of Peterborough (B),Demand,EV Charging Point,Eastern Power Networks (EPN),6,0,0.18492375,-0.18492375314235687
Broadland District,Generation,Solar PV,Eastern Power Networks (EPN),11,38,52.311787,-14.311786651611328
Worthing District (B),Generation,Solar PV,South Eastern Power Networks (SPN),9,23,31.123106,-8.123106002807617
Babergh District,Generation,Solar PV,Eastern Power Networks (EPN),13,42,44.628124,-2.628124237060547
Basildon District (B),Generation,Solar PV,Eastern Power Networks (EPN),7,35,25.575472,9.424528121948242
Fenland District,Generation,Solar PV,Eastern Power Networks (EPN),11,29,51.598263,-22.598262786865234
South Norfolk District,Generation,Solar PV,Eastern Power Networks (EPN),13,57,45.664143,11.335857391357422
East Hertfordshire District,Generation,Solar PV,Eastern Power Networks (EPN),11,43,39.113667,3.886333465576172
Swale District (B),Demand,EV Charging Point,South Eastern Power Networks (SPN),7,0,-0.08276037,0.08276037126779556
Cambridge District (B),Generation,Solar PV,Eastern Power Networks (EPN),10,34,36.558002,-2.558002471923828
Babergh District,Generation,Solar PV,Eastern Power Networks (EPN),20,50,68.05181,-18.05181121826172
Tunbridge Wells District (B),Generation,Solar PV,South Eastern Power Networks (SPN),8,23,29.56631,-6.566310882568359
Maidstone District (B),Generation,Solar PV,South Eastern Power Networks (SPN),7,25,26.036242,-1.0362415313720703
City of Peterborough (B),Generation,Solar PV,Eastern Power Networks (EPN),6,19,23.383013,-4.383012771606445
Central Bedfordshire,Generation,Solar PV,Eastern Power Networks (EPN),10,41,36.558002,4.441997528076172
Hertsmere District (B),Demand,EV Charging Point,Eastern Power Networks (EPN),7,0,-0.19276384,0.19276383519172668
Folkestone and Hythe District,Generation,Solar PV,South Eastern Power Networks (SPN),6,16,22.795174,-6.795173645019531
Medway (B),Generation,Solar PV,South Eastern Power Networks (SPN),12,49,41.959976,7.0400238037109375
Norwich District (B),Generation + Demand,Battery Storage,Eastern Power Networks (EPN),6,20,11.13725,8.862750053405762
Watford District (B),Generation,Solar PV,Eastern Power Networks (EPN),18,28,150.2092,-122.20919799804688
Mole Valley District,Generation,Solar PV,South Eastern Power Networks (SPN),6,25,22.795174,2.2048263549804688
King's Lynn and West Norfolk District (B),Generation,Solar PV,Eastern Power Networks (EPN),7,26,26.456924,-0.4569244384765625
Breckland District,Generation,Solar PV,Eastern Power Networks (EPN),31,32,113.448654,-81.44865417480469
East Suffolk District,Generation,Solar PV,Eastern Power Networks (EPN),19,66,67.948555,-1.9485549926757812
City of Peterborough (B),Generation,Solar PV,Eastern Power Networks (EPN),81,235,240.96745,-5.9674530029296875
Cambridge District (B),Generation,Solar PV,Eastern Power Networks (EPN),9,24,32.258327,-8.25832748413086
Basildon District (B),Generation,Solar PV,Eastern Power Networks (EPN),9,30,31.952501,-1.9525012969970703
Bedford (B),Generation,Solar PV,Eastern Power Networks (EPN),13,61,44.628124,16.371875762939453
Southend-on-Sea (B),Generation,Solar PV,Eastern Power Networks (EPN),7,20,26.874443,-6.874443054199219
Dacorum District (B),Generation,Solar PV,Eastern Power Networks (EPN),8,25,29.009773,-4.009773254394531
Barking and Dagenham London Boro,Generation,Solar PV,London Power Networks (LPN),7,23,21.891928,1.108072280883789
Dacorum District (B),Generation,Solar PV,Eastern Power Networks (EPN),7,20,25.479704,-5.479703903198242
Cambridge District (B),Generation,Solar PV,Eastern Power Networks (EPN),11,27,39.113667,-12.113666534423828
Braintree District,Generation,Solar PV,Eastern Power Networks (EPN),11,33,37.82723,-4.827228546142578
St. Albans District (B),Demand,EV Charging Point,Eastern Power Networks (EPN),9,0,0.0740212,-0.07402119785547256
Broadland District,Generation,Solar PV,Eastern Power Networks (EPN),6,25,23.071358,1.9286422729492188
Maldon District (B),Generation,Solar PV,Eastern Power Networks (EPN),10,26,36.558002,-10.558002471923828
